Player,Team,Opposition,Runs,NotOut,Mins,BF,4s,6s,SR,Inns,Venue,Start Date
K Rabada,Punjab Kings,Delhi Capitals,6,0,4,2,0,1,300,2,DY Patil,16-May-22
Arshdeep Singh,Punjab Kings,Delhi Capitals,2,1,11,3,0,0,66.66,2,DY Patil,16-May-22
YBK Jaiswal,Rajasthan Royals,Lucknow Super Giants,41,0,61,29,6,1,141.37,1,Brabourne,15-May-22
JC Buttler,Rajasthan Royals,Lucknow Super Giants,2,0,12,6,0,0,33.33,1,Brabourne,15-May-22
SV Samson,Rajasthan Royals,Lucknow Super Giants,32,0,37,24,6,0,133.33,1,Brabourne,15-May-22
D Padikkal,Rajasthan Royals,Lucknow Super Giants,39,0,24,18,5,2,216.66,1,Brabourne,15-May-22
R Parag,Rajasthan Royals,Lucknow Super Giants,19,0,27,16,0,1,118.75,1,Brabourne,15-May-22
JDS Neesham,Rajasthan Royals,Lucknow Super Giants,14,0,23,12,2,0,116.66,1,Brabourne,15-May-22
R Ashwin,Rajasthan Royals,Lucknow Super Giants,10,1,16,7,1,0,142.85,1,Brabourne,15-May-22
TA Boult,Rajasthan Royals,Lucknow Super Giants,17,1,11,9,2,0,188.88,1,Brabourne,15-May-22
OC McCoy,Rajasthan Royals,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Brabourne,15-May-22
M Prasidh Krishna,Rajasthan Royals,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Brabourne,15-May-22
YS Chahal,Rajasthan Royals,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Brabourne,15-May-22
Q de Kock,Lucknow Super Giants,Rajasthan Royals,7,0,14,8,1,0,87.5,2,Brabourne,15-May-22
KL Rahul,Lucknow Super Giants,Rajasthan Royals,10,0,32,19,0,1,52.63,2,Brabourne,15-May-22
A Badoni,Lucknow Super Giants,Rajasthan Royals,0,0,3,1,0,0,0,2,Brabourne,15-May-22
DJ Hooda,Lucknow Super Giants,Rajasthan Royals,59,0,69,39,5,2,151.28,2,Brabourne,15-May-22
KH Pandya,Lucknow Super Giants,Rajasthan Royals,25,0,37,23,1,1,108.69,2,Brabourne,15-May-22
MP Stoinis,Lucknow Super Giants,Rajasthan Royals,27,0,42,17,1,2,158.82,2,Brabourne,15-May-22
JO Holder,Lucknow Super Giants,Rajasthan Royals,1,0,5,2,0,0,50,2,Brabourne,15-May-22
PVD Chameera,Lucknow Super Giants,Rajasthan Royals,0,0,3,2,0,0,0,2,Brabourne,15-May-22
Mohsin Khan,Lucknow Super Giants,Rajasthan Royals,9,1,20,7,1,0,128.57,2,Brabourne,15-May-22
Avesh Khan,Lucknow Super Giants,Rajasthan Royals,1,1,4,2,0,0,50,2,Brabourne,15-May-22
Ravi Bishnoi,Lucknow Super Giants,Rajasthan Royals,DNB,0,-,-,-,-,-,2,Brabourne,15-May-22
RD Gaikwad,Chennai Super Kings,Gujarat Titans,53,0,83,49,4,1,108.16,1,Wankhede,15-May-22
DP Conway,Chennai Super Kings,Gujarat Titans,5,0,14,9,0,0,55.55,1,Wankhede,15-May-22
MM Ali,Chennai Super Kings,Gujarat Titans,21,0,36,17,0,2,123.52,1,Wankhede,15-May-22
N Jagadeesan,Chennai Super Kings,Gujarat Titans,39,1,60,33,3,1,118.18,1,Wankhede,15-May-22
S Dube,Chennai Super Kings,Gujarat Titans,0,0,4,2,0,0,0,1,Wankhede,15-May-22
MS Dhoni,Chennai Super Kings,Gujarat Titans,7,0,18,10,0,0,70,1,Wankhede,15-May-22
MJ Santner,Chennai Super Kings,Gujarat Titans,1,1,3,1,0,0,100,1,Wankhede,15-May-22
M Pathirana,Chennai Super Kings,Gujarat Titans,DNB,0,-,-,-,-,-,1,Wankhede,15-May-22
Mukesh Choudhary,Chennai Super Kings,Gujarat Titans,DNB,0,-,-,-,-,-,1,Wankhede,15-May-22
Simarjeet Singh,Chennai Super Kings,Gujarat Titans,DNB,0,-,-,-,-,-,1,Wankhede,15-May-22
PH Solanki,Chennai Super Kings,Gujarat Titans,DNB,0,-,-,-,-,-,1,Wankhede,15-May-22
WP Saha,Gujarat Titans,Chennai Super Kings,67,1,86,57,8,1,117.54,2,Wankhede,15-May-22
Shubman Gill,Gujarat Titans,Chennai Super Kings,18,0,33,17,3,0,105.88,2,Wankhede,15-May-22
MS Wade,Gujarat Titans,Chennai Super Kings,20,0,19,15,2,0,133.33,2,Wankhede,15-May-22
HH Pandya,Gujarat Titans,Chennai Super Kings,7,0,9,6,1,0,116.66,2,Wankhede,15-May-22
DA Miller,Gujarat Titans,Chennai Super Kings,15,1,27,20,1,0,75,2,Wankhede,15-May-22
Rashid Khan,Gujarat Titans,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,15-May-22
R Tewatia,Gujarat Titans,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,15-May-22
R Sai Kishore,Gujarat Titans,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,15-May-22
AS Joseph,Gujarat Titans,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,15-May-22
Yash Dayal,Gujarat Titans,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,15-May-22
Mohammed Shami,Gujarat Titans,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,15-May-22
VR Iyer,Kolkata Knight Riders,Sunrisers Hyderabad,7,0,12,6,1,0,116.66,1,Pune,14-May-22
AM Rahane,Kolkata Knight Riders,Sunrisers Hyderabad,28,0,45,24,0,3,116.66,1,Pune,14-May-22
N Rana,Kolkata Knight Riders,Sunrisers Hyderabad,26,0,31,16,1,3,162.5,1,Pune,14-May-22
SS Iyer,Kolkata Knight Riders,Sunrisers Hyderabad,15,0,13,9,2,0,166.66,1,Pune,14-May-22
SW Billings,Kolkata Knight Riders,Sunrisers Hyderabad,34,0,58,29,3,1,117.24,1,Pune,14-May-22
RK Singh,Kolkata Knight Riders,Sunrisers Hyderabad,5,0,10,6,0,0,83.33,1,Pune,14-May-22
AD Russell,Kolkata Knight Riders,Sunrisers Hyderabad,49,1,48,28,3,4,175,1,Pune,14-May-22
SP Narine,Kolkata Knight Riders,Sunrisers Hyderabad,1,1,8,2,0,0,50,1,Pune,14-May-22
UT Yadav,Kolkata Knight Riders,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Pune,14-May-22
CV Varun,Kolkata Knight Riders,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Pune,14-May-22
TG Southee,Kolkata Knight Riders,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Pune,14-May-22
Abhishek Sharma,Sunrisers Hyderabad,Kolkata Knight Riders,43,0,-,28,4,2,153.57,2,Pune,14-May-22
KS Williamson,Sunrisers Hyderabad,Kolkata Knight Riders,9,0,-,17,1,0,52.94,2,Pune,14-May-22
RA Tripathi,Sunrisers Hyderabad,Kolkata Knight Riders,9,0,-,12,1,0,75,2,Pune,14-May-22
AK Markram,Sunrisers Hyderabad,Kolkata Knight Riders,32,0,-,25,0,3,128,2,Pune,14-May-22
N Pooran,Sunrisers Hyderabad,Kolkata Knight Riders,2,0,-,3,0,0,66.66,2,Pune,14-May-22
Washington Sundar,Sunrisers Hyderabad,Kolkata Knight Riders,4,0,-,9,0,0,44.44,2,Pune,14-May-22
Shashank Singh,Sunrisers Hyderabad,Kolkata Knight Riders,11,0,-,12,1,0,91.66,2,Pune,14-May-22
M Jansen,Sunrisers Hyderabad,Kolkata Knight Riders,1,0,-,2,0,0,50,2,Pune,14-May-22
B Kumar,Sunrisers Hyderabad,Kolkata Knight Riders,6,1,-,7,1,0,85.71,2,Pune,14-May-22
Umran Malik,Sunrisers Hyderabad,Kolkata Knight Riders,3,1,-,5,0,0,60,2,Pune,14-May-22
T Natarajan,Sunrisers Hyderabad,Kolkata Knight Riders,DNB,0,-,-,-,-,-,2,Pune,14-May-22
JM Bairstow,Punjab Kings,Royal Challengers Bangalore,66,0,52,29,4,7,227.58,1,Brabourne,13-May-22
S Dhawan,Punjab Kings,Royal Challengers Bangalore,21,0,27,15,2,1,140,1,Brabourne,13-May-22
PBB Rajapaksa,Punjab Kings,Royal Challengers Bangalore,1,0,13,3,0,0,33.33,1,Brabourne,13-May-22
LS Livingstone,Punjab Kings,Royal Challengers Bangalore,70,0,66,42,5,4,166.66,1,Brabourne,13-May-22
MA Agarwal,Punjab Kings,Royal Challengers Bangalore,19,0,27,16,3,0,118.75,1,Brabourne,13-May-22
JM Sharma,Punjab Kings,Royal Challengers Bangalore,9,0,10,5,2,0,180,1,Brabourne,13-May-22
Harpreet Brar,Punjab Kings,Royal Challengers Bangalore,7,0,6,5,0,1,140,1,Brabourne,13-May-22
R Dhawan,Punjab Kings,Royal Challengers Bangalore,7,0,16,3,0,1,233.33,1,Brabourne,13-May-22
RD Chahar,Punjab Kings,Royal Challengers Bangalore,2,0,7,2,0,0,100,1,Brabourne,13-May-22
K Rabada,Punjab Kings,Royal Challengers Bangalore,0,1,3,1,0,0,0,1,Brabourne,13-May-22
Arshdeep Singh,Punjab Kings,Royal Challengers Bangalore,DNB,0,-,-,-,-,-,1,Brabourne,13-May-22
V Kohli,Royal Challengers Bangalore,Punjab Kings,20,0,18,14,2,1,142.85,2,Brabourne,13-May-22
F du Plessis,Royal Challengers Bangalore,Punjab Kings,10,0,25,8,2,0,125,2,Brabourne,13-May-22
RM Patidar,Royal Challengers Bangalore,Punjab Kings,26,0,40,21,1,2,123.8,2,Brabourne,13-May-22
MK Lomror,Royal Challengers Bangalore,Punjab Kings,6,0,4,3,0,1,200,2,Brabourne,13-May-22
GJ Maxwell,Royal Challengers Bangalore,Punjab Kings,35,0,33,22,3,1,159.09,2,Brabourne,13-May-22
KD Karthik,Royal Challengers Bangalore,Punjab Kings,11,0,21,11,1,0,100,2,Brabourne,13-May-22
Shahbaz Ahmed,Royal Challengers Bangalore,Punjab Kings,9,0,23,14,0,0,64.28,2,Brabourne,13-May-22
HV Patel,Royal Challengers Bangalore,Punjab Kings,11,0,21,7,2,0,157.14,2,Brabourne,13-May-22
PWH de Silva,Royal Challengers Bangalore,Punjab Kings,1,0,8,3,0,0,33.33,2,Brabourne,13-May-22
Mohammed Siraj,Royal Challengers Bangalore,Punjab Kings,9,1,15,13,1,0,69.23,2,Brabourne,13-May-22
JR Hazlewood,Royal Challengers Bangalore,Punjab Kings,7,1,8,4,1,0,175,2,Brabourne,13-May-22
RD Gaikwad,Chennai Super Kings,Mumbai Indians,7,0,26,6,1,0,116.66,1,Wankhede,12-May-22
DP Conway,Chennai Super Kings,Mumbai Indians,0,0,4,1,0,0,0,1,Wankhede,12-May-22
MM Ali,Chennai Super Kings,Mumbai Indians,0,0,3,2,0,0,0,1,Wankhede,12-May-22
RV Uthappa,Chennai Super Kings,Mumbai Indians,1,0,9,6,0,0,16.66,1,Wankhede,12-May-22
AT Rayudu,Chennai Super Kings,Mumbai Indians,10,0,22,14,2,0,71.42,1,Wankhede,12-May-22
MS Dhoni,Chennai Super Kings,Mumbai Indians,36,1,65,33,4,2,109.09,1,Wankhede,12-May-22
S Dube,Chennai Super Kings,Mumbai Indians,10,0,12,9,1,0,111.11,1,Wankhede,12-May-22
DJ Bravo,Chennai Super Kings,Mumbai Indians,12,0,24,15,0,1,80,1,Wankhede,12-May-22
Simarjeet Singh,Chennai Super Kings,Mumbai Indians,2,0,5,3,0,0,66.66,1,Wankhede,12-May-22
M Theekshana,Chennai Super Kings,Mumbai Indians,0,0,5,3,0,0,0,1,Wankhede,12-May-22
Mukesh Choudhary,Chennai Super Kings,Mumbai Indians,4,0,15,4,1,0,100,1,Wankhede,12-May-22
Ishan Kishan,Mumbai Indians,Chennai Super Kings,6,0,6,5,1,0,120,2,Wankhede,12-May-22
RG Sharma,Mumbai Indians,Chennai Super Kings,18,0,21,14,4,0,128.57,2,Wankhede,12-May-22
DR Sams,Mumbai Indians,Chennai Super Kings,1,0,23,6,0,0,16.66,2,Wankhede,12-May-22
NT Tilak Varma,Mumbai Indians,Chennai Super Kings,34,1,59,32,4,0,106.25,2,Wankhede,12-May-22
T Stubbs,Mumbai Indians,Chennai Super Kings,0,0,3,2,0,0,0,2,Wankhede,12-May-22
HR Shokeen,Mumbai Indians,Chennai Super Kings,18,0,39,23,2,0,78.26,2,Wankhede,12-May-22
TH David,Mumbai Indians,Chennai Super Kings,16,1,11,7,0,2,228.57,2,Wankhede,12-May-22
K Kartikeya,Mumbai Indians,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,12-May-22
JJ Bumrah,Mumbai Indians,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,12-May-22
RP Meredith,Mumbai Indians,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,12-May-22
Ramandeep Singh,Mumbai Indians,Chennai Super Kings,DNB,0,-,-,-,-,-,2,Wankhede,12-May-22
YBK Jaiswal,Rajasthan Royals,Delhi Capitals,19,0,41,19,1,1,100,1,DY Patil,11-May-22
JC Buttler,Rajasthan Royals,Delhi Capitals,7,0,15,11,1,0,63.63,1,DY Patil,11-May-22
R Ashwin,Rajasthan Royals,Delhi Capitals,50,0,57,38,4,2,131.57,1,DY Patil,11-May-22
D Padikkal,Rajasthan Royals,Delhi Capitals,48,0,55,30,6,2,160,1,DY Patil,11-May-22
SV Samson,Rajasthan Royals,Delhi Capitals,6,0,12,4,1,0,150,1,DY Patil,11-May-22
R Parag,Rajasthan Royals,Delhi Capitals,9,0,11,5,0,1,180,1,DY Patil,11-May-22
HE van der Dussen,Rajasthan Royals,Delhi Capitals,12,1,14,10,1,0,120,1,DY Patil,11-May-22
TA Boult,Rajasthan Royals,Delhi Capitals,3,1,10,3,0,0,100,1,DY Patil,11-May-22
YS Chahal,Rajasthan Royals,Delhi Capitals,DNB,0,-,-,-,-,-,1,DY Patil,11-May-22
M Prasidh Krishna,Rajasthan Royals,Delhi Capitals,DNB,0,-,-,-,-,-,1,DY Patil,11-May-22
KR Sen,Rajasthan Royals,Delhi Capitals,DNB,0,-,-,-,-,-,1,DY Patil,11-May-22
KS Bharat,Delhi Capitals,Rajasthan Royals,0,0,3,2,0,0,0,2,DY Patil,11-May-22
DA Warner,Delhi Capitals,Rajasthan Royals,52,1,92,41,5,1,126.82,2,DY Patil,11-May-22
MR Marsh,Delhi Capitals,Rajasthan Royals,89,0,84,62,5,7,143.54,2,DY Patil,11-May-22
RR Pant,Delhi Capitals,Rajasthan Royals,13,1,7,4,0,2,325,2,DY Patil,11-May-22
Lalit Yadav,Delhi Capitals,Rajasthan Royals,DNB,0,-,-,-,-,-,2,DY Patil,11-May-22
Kuldeep Yadav,Delhi Capitals,Rajasthan Royals,DNB,0,-,-,-,-,-,2,DY Patil,11-May-22
A Nortje,Delhi Capitals,Rajasthan Royals,DNB,0,-,-,-,-,-,2,DY Patil,11-May-22
AR Patel,Delhi Capitals,Rajasthan Royals,DNB,0,-,-,-,-,-,2,DY Patil,11-May-22
C Sakariya,Delhi Capitals,Rajasthan Royals,DNB,0,-,-,-,-,-,2,DY Patil,11-May-22
SN Thakur,Delhi Capitals,Rajasthan Royals,DNB,0,-,-,-,-,-,2,DY Patil,11-May-22
R Powell,Delhi Capitals,Rajasthan Royals,DNB,0,-,-,-,-,-,2,DY Patil,11-May-22
WP Saha,Gujarat Titans,Lucknow Super Giants,5,0,13,11,1,0,45.45,1,Pune,10-May-22
Shubman Gill,Gujarat Titans,Lucknow Super Giants,63,1,100,49,7,0,128.57,1,Pune,10-May-22
MS Wade,Gujarat Titans,Lucknow Super Giants,10,0,10,7,2,0,142.85,1,Pune,10-May-22
HH Pandya,Gujarat Titans,Lucknow Super Giants,11,0,22,13,0,0,84.61,1,Pune,10-May-22
DA Miller,Gujarat Titans,Lucknow Super Giants,26,0,33,24,1,1,108.33,1,Pune,10-May-22
R Tewatia,Gujarat Titans,Lucknow Super Giants,22,1,24,16,4,0,137.5,1,Pune,10-May-22
AS Joseph,Gujarat Titans,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Pune,10-May-22
Rashid Khan,Gujarat Titans,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Pune,10-May-22
Yash Dayal,Gujarat Titans,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Pune,10-May-22
Mohammed Shami,Gujarat Titans,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Pune,10-May-22
R Sai Kishore,Gujarat Titans,Lucknow Super Giants,DNB,0,-,-,-,-,-,1,Pune,10-May-22
Q de Kock,Lucknow Super Giants,Gujarat Titans,11,0,19,10,0,1,110,2,Pune,10-May-22
KL Rahul,Lucknow Super Giants,Gujarat Titans,8,0,27,16,1,0,50,2,Pune,10-May-22
DJ Hooda,Lucknow Super Giants,Gujarat Titans,27,0,53,26,3,0,103.84,2,Pune,10-May-22
KS Sharma,Lucknow Super Giants,Gujarat Titans,4,0,6,4,1,0,100,2,Pune,10-May-22
KH Pandya,Lucknow Super Giants,Gujarat Titans,5,0,11,5,1,0,100,2,Pune,10-May-22
A Badoni,Lucknow Super Giants,Gujarat Titans,8,0,15,11,1,0,72.72,2,Pune,10-May-22
MP Stoinis,Lucknow Super Giants,Gujarat Titans,2,0,5,2,0,0,100,2,Pune,10-May-22
JO Holder,Lucknow Super Giants,Gujarat Titans,1,0,4,2,0,0,50,2,Pune,10-May-22
Mohsin Khan,Lucknow Super Giants,Gujarat Titans,1,0,5,3,0,0,33.33,2,Pune,10-May-22
PVD Chameera,Lucknow Super Giants,Gujarat Titans,0,1,7,0,0,0,-,2,Pune,10-May-22
Avesh Khan,Lucknow Super Giants,Gujarat Titans,12,0,5,4,0,2,300,2,Pune,10-May-22
VR Iyer,Kolkata Knight Riders,Mumbai Indians,43,0,28,24,3,4,179.16,1,DY Patil,9-May-22
AM Rahane,Kolkata Knight Riders,Mumbai Indians,25,0,51,24,3,0,104.16,1,DY Patil,9-May-22
N Rana,Kolkata Knight Riders,Mumbai Indians,43,0,50,26,3,4,165.38,1,DY Patil,9-May-22
SS Iyer,Kolkata Knight Riders,Mumbai Indians,6,0,16,8,1,0,75,1,DY Patil,9-May-22
AD Russell,Kolkata Knight Riders,Mumbai Indians,9,0,8,5,0,1,180,1,DY Patil,9-May-22
RK Singh,Kolkata Knight Riders,Mumbai Indians,23,1,33,19,2,1,121.05,1,DY Patil,9-May-22
SP Jackson,Kolkata Knight Riders,Mumbai Indians,5,0,14,7,0,0,71.42,1,DY Patil,9-May-22
PJ Cummins,Kolkata Knight Riders,Mumbai Indians,0,0,4,2,0,0,0,1,DY Patil,9-May-22
SP Narine,Kolkata Knight Riders,Mumbai Indians,0,0,2,1,0,0,0,1,DY Patil,9-May-22
TG Southee,Kolkata Knight Riders,Mumbai Indians,0,0,8,4,0,0,0,1,DY Patil,9-May-22
CV Varun,Kolkata Knight Riders,Mumbai Indians,0,1,-,0,0,0,-,1,DY Patil,9-May-22
RG Sharma,Mumbai Indians,Kolkata Knight Riders,2,0,6,6,0,0,33.33,2,DY Patil,9-May-22
Ishan Kishan,Mumbai Indians,Kolkata Knight Riders,51,0,66,43,5,1,118.6,2,DY Patil,9-May-22
NT Tilak Varma,Mumbai Indians,Kolkata Knight Riders,6,0,19,5,1,0,120,2,DY Patil,9-May-22
Ramandeep Singh,Mumbai Indians,Kolkata Knight Riders,12,0,25,16,0,0,75,2,DY Patil,9-May-22
TH David,Mumbai Indians,Kolkata Knight Riders,13,0,9,9,3,0,144.44,2,DY Patil,9-May-22
KA Pollard,Mumbai Indians,Kolkata Knight Riders,15,0,28,16,0,1,93.75,2,DY Patil,9-May-22
DR Sams,Mumbai Indians,Kolkata Knight Riders,1,0,5,2,0,0,50,2,DY Patil,9-May-22
M Ashwin,Mumbai Indians,Kolkata Knight Riders,0,0,3,2,0,0,0,2,DY Patil,9-May-22
K Kartikeya,Mumbai Indians,Kolkata Knight Riders,3,0,11,5,0,0,60,2,DY Patil,9-May-22
JJ Bumrah,Mumbai Indians,Kolkata Knight Riders,0,0,4,0,0,0,-,2,DY Patil,9-May-22
RP Meredith,Mumbai Indians,Kolkata Knight Riders,0,1,2,1,0,0,0,2,DY Patil,9-May-22
RD Gaikwad,Chennai Super Kings,Delhi Capitals,41,0,54,33,4,1,124.24,1,DY Patil,8-May-22
DP Conway,Chennai Super Kings,Delhi Capitals,87,0,87,49,7,5,177.55,1,DY Patil,8-May-22
S Dube,Chennai Super Kings,Delhi Capitals,32,0,38,19,2,2,168.42,1,DY Patil,8-May-22
AT Rayudu,Chennai Super Kings,Delhi Capitals,5,0,14,6,1,0,83.33,1,DY Patil,8-May-22
MS Dhoni,Chennai Super Kings,Delhi Capitals,21,1,20,8,1,2,262.5,1,DY Patil,8-May-22
MM Ali,Chennai Super Kings,Delhi Capitals,9,0,8,4,2,0,225,1,DY Patil,8-May-22
RV Uthappa,Chennai Super Kings,Delhi Capitals,0,0,2,1,0,0,0,1,DY Patil,8-May-22
DJ Bravo,Chennai Super Kings,Delhi Capitals,1,1,3,1,0,0,100,1,DY Patil,8-May-22
M Theekshana,Chennai Super Kings,Delhi Capitals,DNB,0,-,-,-,-,-,1,DY Patil,8-May-22
Mukesh Choudhary,Chennai Super Kings,Delhi Capitals,DNB,0,-,-,-,-,-,1,DY Patil,8-May-22
Simarjeet Singh,Chennai Super Kings,Delhi Capitals,DNB,0,-,-,-,-,-,1,DY Patil,8-May-22
DA Warner,Delhi Capitals,Chennai Super Kings,19,0,25,12,1,2,158.33,2,DY Patil,8-May-22
KS Bharat,Delhi Capitals,Chennai Super Kings,8,0,10,5,2,0,160,2,DY Patil,8-May-22
MR Marsh,Delhi Capitals,Chennai Super Kings,25,0,32,20,3,1,125,2,DY Patil,8-May-22
RR Pant,Delhi Capitals,Chennai Super Kings,21,0,23,11,4,0,190.9,2,DY Patil,8-May-22
R Powell,Delhi Capitals,Chennai Super Kings,3,0,19,9,0,0,33.33,2,DY Patil,8-May-22
RV Patel,Delhi Capitals,Chennai Super Kings,6,0,4,3,0,1,200,2,DY Patil,8-May-22
AR Patel,Delhi Capitals,Chennai Super Kings,1,0,6,3,0,0,33.33,2,DY Patil,8-May-22
SN Thakur,Delhi Capitals,Chennai Super Kings,24,0,31,19,2,1,126.31,2,DY Patil,8-May-22
Kuldeep Yadav,Delhi Capitals,Chennai Super Kings,5,0,17,17,0,0,29.41,2,DY Patil,8-May-22
A Nortje,Delhi Capitals,Chennai Super Kings,1,1,11,6,0,0,16.66,2,DY Patil,8-May-22
KK Ahmed,Delhi Capitals,Chennai Super Kings,0,0,2,1,0,0,0,2,DY Patil,8-May-22
V Kohli,Royal Challengers Bangalore,Sunrisers Hyderabad,0,0,2,1,0,0,0,1,Wankhede,8-May-22
F du Plessis,Royal Challengers Bangalore,Sunrisers Hyderabad,73,1,109,50,8,2,146,1,Wankhede,8-May-22
RM Patidar,Royal Challengers Bangalore,Sunrisers Hyderabad,48,0,58,38,4,2,126.31,1,Wankhede,8-May-22
GJ Maxwell,Royal Challengers Bangalore,Sunrisers Hyderabad,33,0,41,24,3,2,137.5,1,Wankhede,8-May-22
KD Karthik,Royal Challengers Bangalore,Sunrisers Hyderabad,30,1,11,8,1,4,375,1,Wankhede,8-May-22
MK Lomror,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Wankhede,8-May-22
Shahbaz Ahmed,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Wankhede,8-May-22
JR Hazlewood,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Wankhede,8-May-22
Mohammed Siraj,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Wankhede,8-May-22
HV Patel,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Wankhede,8-May-22
PWH de Silva,Royal Challengers Bangalore,Sunrisers Hyderabad,DNB,0,-,-,-,-,-,1,Wankhede,8-May-22
Abhishek Sharma,Sunrisers Hyderabad,Royal Challengers Bangalore,0,0,7,3,0,0,0,2,Wankhede,8-May-22
KS Williamson,Sunrisers Hyderabad,Royal Challengers Bangalore,0,0,4,0,0,0,-,2,Wankhede,8-May-22
RA Tripathi,Sunrisers Hyderabad,Royal Challengers Bangalore,58,0,77,37,6,2,156.75,2,Wankhede,8-May-22
AK Markram,Sunrisers Hyderabad,Royal Challengers Bangalore,21,0,36,27,1,1,77.77,2,Wankhede,8-May-22
N Pooran,Sunrisers Hyderabad,Royal Challengers Bangalore,19,0,20,14,2,1,135.71,2,Wankhede,8-May-22
J Suchith,Sunrisers Hyderabad,Royal Challengers Bangalore,2,0,13,7,0,0,28.57,2,Wankhede,8-May-22
Shashank Singh,Sunrisers Hyderabad,Royal Challengers Bangalore,8,0,15,9,0,1,88.88,2,Wankhede,8-May-22
Kartik Tyagi,Sunrisers Hyderabad,Royal Challengers Bangalore,0,0,1,1,0,0,0,2,Wankhede,8-May-22
B Kumar,Sunrisers Hyderabad,Royal Challengers Bangalore,8,0,23,9,1,0,88.88,2,Wankhede,8-May-22
Umran Malik,Sunrisers Hyderabad,Royal Challengers Bangalore,0,0,2,1,0,0,0,2,Wankhede,8-May-22
Fazalhaq Farooqi,Sunrisers Hyderabad,Royal Challengers Bangalore,2,1,15,8,0,0,25,2,Wankhede,8-May-22
Q de Kock,Lucknow Super Giants,Kolkata Knight Riders,50,0,36,29,4,3,172.41,1,Pune,7-May-22
KL Rahul,Lucknow Super Giants,Kolkata Knight Riders,0,0,4,0,0,0,-,1,Pune,7-May-22
DJ Hooda,Lucknow Super Giants,Kolkata Knight Riders,41,0,57,27,4,2,151.85,1,Pune,7-May-22
KH Pandya,Lucknow Super Giants,Kolkata Knight Riders,25,0,36,27,2,0,92.59,1,Pune,7-May-22
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,15,1,40,18,0,0,83.33,1,Pune,7-May-22
MP Stoinis,Lucknow Super Giants,Kolkata Knight Riders,28,0,23,14,1,3,200,1,Pune,7-May-22
JO Holder,Lucknow Super Giants,Kolkata Knight Riders,13,0,6,4,0,2,325,1,Pune,7-May-22
PVD Chameera,Lucknow Super Giants,Kolkata Knight Riders,0,0,3,1,0,0,0,1,Pune,7-May-22
Mohsin Khan,Lucknow Super Giants,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Pune,7-May-22
Ravi Bishnoi,Lucknow Super Giants,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Pune,7-May-22
Avesh Khan,Lucknow Super Giants,Kolkata Knight Riders,DNB,0,-,-,-,-,-,1,Pune,7-May-22
B Indrajith,Kolkata Knight Riders,Lucknow Super Giants,0,0,5,6,0,0,0,2,Pune,7-May-22
AJ Finch,Kolkata Knight Riders,Lucknow Super Giants,14,0,29,14,1,0,100,2,Pune,7-May-22
SS Iyer,Kolkata Knight Riders,Lucknow Super Giants,6,0,13,9,1,0,66.66,2,Pune,7-May-22
N Rana,Kolkata Knight Riders,Lucknow Super Giants,2,0,19,11,0,0,18.18,2,Pune,7-May-22
RK Singh,Kolkata Knight Riders,Lucknow Super Giants,6,0,30,10,0,0,60,2,Pune,7-May-22
AD Russell,Kolkata Knight Riders,Lucknow Super Giants,45,0,31,19,3,5,236.84,2,Pune,7-May-22
SP Narine,Kolkata Knight Riders,Lucknow Super Giants,22,0,21,12,3,1,183.33,2,Pune,7-May-22
AS Roy,Kolkata Knight Riders,Lucknow Super Giants,0,0,3,2,0,0,0,2,Pune,7-May-22
Shivam Mavi,Kolkata Knight Riders,Lucknow Super Giants,1,1,14,2,0,0,50,2,Pune,7-May-22
TG Southee,Kolkata Knight Riders,Lucknow Super Giants,0,0,2,1,0,0,0,2,Pune,7-May-22
